species.,species,image_file_name,image_type,color,primary.color,secondary.color,tertiary.color,quaternary.color,pattern,primary.patternattern,secondary.pattern,nape,scale_type,Venomous,Max_Size,Bahrain,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi.Arabia,Syria,UAE,Yemen,User
54,Eryx miliaris,Eryx_tataricus_speciosus.jpg,,beige orange darkbrown ,beige,orange,darkbrown,,blotched ,blotched,,,smooth,,NA,,,,,,,,,,,,,,gillian
54,Eryx miliaris,Eryx_tataricus_tataricus.jpg,,darkbrown beige lightgray ,darkbrown,beige,lightgray,,blotched ,blotched,,,smooth,,NA,,,,,,,,,,,,,,gillian
54,Eryx miliaris miliaris,Eryx_miliaris_miliaris.jpg,,darkbrown lightbrown orange ,darkbrown,lightbrown,orange,,blotched ,blotched,,,smooth,,910,,x,x,,,,,,,,,,,gillian
54,Eryx miliaris miliaris,Eryx_miliaris_miliaris2.jpg,,lightbrown brown orange ,lightbrown,brown,orange,,blotched ,blotched,,,smooth,,910,,x,x,,,,,,,,,,,gillian
54,Eryx miliaris nogaiorum,Eryx_miliaris_nogaiorum.jpg,,black lightgray white ,black,lightgray,white,,blotched ,blotched,,,smooth,,910,,x,x,,,,,,,,,,,gillian
54,Eryx miliaris nogaiorum,Eryx_miliaris_nogaiorum2.jpg,,black white lightgray ,black,white,lightgray,,spotted ,spotted,,,smooth,,910,,x,x,,,,,,,,,,,gillian
55,Eryx sistanensis,Eryx_sistanensis.jpg,,lightbrown darkbrown ,lightbrown,darkbrown,,,banded ,banded,,,smooth,,855,,x,,,,,,,,,,,,gillian
55,Eryx sistanensis,Eryx_sistanensis2.jpg,,lightbrown darkbrown,lightbrown,darkbrown,,,banded ,banded,,,smooth,,855,,x,,,,,,,,,,,,gillian
55,Eryx sistanensis,Eryx_sistanensis3.jpg,,lightbrown darkbrown ,lightbrown,darkbrown,,,banded ,banded,,,smooth,,855,,x,,,,,,,,,,,,gillian
55,Eryx sistanensis,Eryx_sistanensis4.jpg,,lightbrown darkbrown ,lightbrown,darkbrown,,,banded ,banded,,,smooth,,855,,x,,,,,,,,,,,,gillian
56,Gloydius caucasicus,Kamali 2020 Gloydius caucasicus.jpg,,darkbrown lightbrown ,darkbrown,lightbrown,,,blotched ,blotched,,,keeled,,660,,x,,,,,,,,,,,,gillian
57,Gloydius halys,Gloydius_halys.jpg,,darkgray black white ,darkgray,black,white,,blotched ,blotched,,,keeled,,750,,x,,,,,,,,,,,,gillian
57,Gloydius halys caraganus,Gloydius_halys_caraganus3.jpg,,lightbrown brown ,lightbrown,brown,,,,,,,keeled,,750,,x,,,,,,,,,,,,gillian
57,Gloydius halys caraganus,Gloydius_halys_caraganus_m.jpg,,orange lightbrown white ,orange,lightbrown,white,,blotched ,blotched,,,keeled,,750,,x,,,,,,,,,,,,gillian
58,Gloydius intermedius,Gloydius_intermedius.jpg,,darkgray lightgray ,darkgray,lightgray,,,banded ,banded,,,keeled,,740,,,,,,,,,,,,,,gillian
58,Gloydius intermedius,Gloydius_intermedius2.jpg,,darkbrown lightbrown ,darkbrown,lightbrown,,,banded ,banded,,,,,740,,,,,,,,,,,,,,gillian
58,Gloydius intermedius,Gloydius_intermedius3.jpg,,darkbrown beige ,darkbrown,beige,,,banded ,banded,,,keeled,,740,,,,,,,,,,,,,,gillian
58,Gloydius intermedius,Gloydius_intermedius4.jpg,,brown lightbrown ,brown,lightbrown,,,banded ,banded,,,keeled,,740,,,,,,,,,,,,,,gillian
58,Gloydius intermedius,Gloydius_intermedius5.jpg,,brown lightbrown ,brown,lightbrown,,,banded ,banded,,,keeled,,740,,,,,,,,,,,,,,gillian
58,Gloydius intermedius saxat,Gloydius_intermedius_saxat.jpg,,darkbrown beige ,darkbrown,beige,,,banded ,banded,,,keeled,,740,,,,,,,,,,,,,,gillian
59,Hemerophis socotrae,Hemerophis_socotrae.jpg,,darkgray orange ,darkgray,orange,,,banded ,banded,,,smooth,,1480,,,,,,,,,,,,,,gillian
60,Hemorrhois nummifer,Hemorrhois_nummifer.jpg,,darkgray lightgray ,darkgray,lightgray,,,diamond ,diamond,,,smooth,,1275,,x,x,x,x,,x,,,,x,,,gillian
61,Hemorrhois ravergieri,Coluber_ravergieri.jpg,,lightgray darkbrown white ,lightgray,darkbrown,white,,blotched striped ,blotched,striped,,smooth,,NA,,,,,,,,,,,,,,gillian
61,Hemorrhois ravergieri,Hemorrhois_ravergieri1.jpg,,lightgray black ,lightgray,black,,,blotched ,blotched,,,smooth,,1392,,x,x,,x,,x,,,,x,,,gillian
61,Hemorrhois ravergieri,Hemorrhois_ravergieri4.jpg,,lightgray black ,lightgray,black,,,blotched ,blotched,,,smooth,,1392,,x,x,,x,,x,,,,x,,,gillian
61,Hemorrhois ravergieri,Hemorrhois_ravergieri6.jpg,,lightgray black ,lightgray,black,,,blotched ,blotched,,,smooth,,1392,,x,x,,x,,x,,,,x,,,gillian
63,Hydrophis curtus,Lapemis_curtus1.jpg,,darkgray lightgray ,darkgray,lightgray,,,banded ,banded,,,smooth,,NA,,,,,,,,,,,,,,gillian
63,Hydrophis curtus,Lapemis_curtus2.jpg,,darkgray yellow ,darkgray,yellow,,,banded anterior-posterior uniform ,banded,anterior-posterior,,smooth,,NA,,,,,,,,,,,,,,gillian
64,Hydrophis cyanocinctus,Hydrophis_cyanocinctus.jpg,,darkbrown black ,darkbrown,black,,,banded ,banded,,,smooth,x,2750,,x,,,,,,x,x,,,x,,gillian
65,Hydrophis fasciatus,Hydrophis_fasciatus1.jpg,,beige black ,beige,black,,,banded ,banded,,,smooth,x,1100,,,,,,,,,,,,,,gillian
66,Hydrophis hardwickii,Kharin 2016 Hydrophis hardwickii.jpg,,darkbrown beige ,darkbrown,beige,,,banded ,banded,,,keeled,x,1000,,x,,,,,,,,,,x,,gillian
66,Hydrophis hardwickii,Mehrtens 1987 Hydrophis hardwickii 2.jpg,,lightbrown ,lightbrown,,,,uniform ,uniform,,,keeled,x,1000,,x,,,,,,,,,,x,,gillian
66,Hydrophis hardwickii,Mehrtens 1987 Hydrophis hardwickii.jpg,,beige darkbrown ,beige,darkbrown,,,blotched diamond ,blotched,diamond,,keeled,x,1000,,x,,,,,,,,,,x,,gillian
66,Hydrophis hardwickii,O'Shea 1996 Hydrophis hardwickii.jpg,,darkbrown beige ,darkbrown,beige,,,banded ,banded,,,keeled,x,1000,,x,,,,,,,,,,,,gillian
67,Hydrophis lapemoides,Hydrophis_lapemoides.jpg,,black white ,black,white,,,banded ,banded,,,smooth,x,1050,,x,,,,,,x,x,,,x,,gillian
67,Hydrophis lapemoides,Hydrophis_lapemoides1.jpg,,black lightgray ,black,lightgray,,,banded ,banded,,,smooth,x,1050,,x,,,,,,x,x,,,x,,gillian
67,Hydrophis lapemoides,Hydrophis_lapemoides2.jpg,,beige black ,beige,black,,,banded ,banded,,,smooth,x,1050,,x,,,,,,x,x,,,x,,gillian
67,Hydrophis lapemoides,Hydrophis_lapemoides3.jpg,,black white ,black,white,,,banded ,banded,,,smooth,x,1050,,x,,,,,,x,x,,,x,,gillian
67,Hydrophis lapemoides,Hydrophis_lapemoides4.jpg,,black white ,black,white,,,banded ,banded,,,smooth,x,1050,,x,,,,,,x,x,,,x,,gillian
67,Hydrophis lapemoides,Hydrophis_lapemoides5.jpg,,black white ,black,white,,,banded ,banded,,,smooth,x,1050,,x,,,,,,x,x,,,x,,gillian
69,Hydrophis ocellatus,Hydrophis_ocellatus.jpg,,beige orange darkbrown ,beige,orange,darkbrown,,blotched ,blotched,,,smooth,x,950,,,,,,,,,,,,,,gillian
70,Hydrophis ornatus,Hydrophis_ornatus.jpg,,beige darkbrown ,beige,darkbrown,,,banded ,banded,,,smooth,x,1115,,x,,,,,,x,,,,x,,gillian
71,Hydrophis platura,Pelamis_platura1.jpg,,black beige ,black,beige,,,banded ,banded,,,smooth,,NA,,,,,,,,,,,,,,gillian
71,Hydrophis platura,Pelamis_platura2.jpg,,black white yellow ,black,white,yellow,,anterior-posterior striped blotched ,anterior-posterior,striped,,smooth,,NA,,,,,,,,,,,,,,gillian
71,Hydrophis platurus,Hydrophis_platurus.jpg,,black white yellow ,black,white,yellow,,anterior-posterior striped  blotched ,anterior-posterior,striped,,smooth,x,880,,x,x,,,,,x,x,,,x,,gillian
71,Hydrophis platurus,Hydrophis_platurus5.jpg,,black white yellow ,black,white,yellow,,anterior-posterior striped blotched ,anterior-posterior,striped,,smooth,x,880,,x,x,,,,,x,x,,,x,,gillian
71,Hydrophis platurus,Hydrophis_platurus6.jpg,,black yellow white ,black,yellow,white,,anterior-posterior striped blotched ,anterior-posterior,striped,,smooth,x,880,,x,x,,,,,x,x,,,x,,gillian
71,Hydrophis platurus,Hydrophis_platurus7.jpg,,yellow ,yellow,,,,blotched ,blotched,,,smooth,x,880,,x,x,,,,,x,x,,,x,,gillian
71,Hydrophis platurus,Hydrophis_platurus9.jpg,,black white yellow ,black,white,yellow,,anterior-posterior blotched ,anterior-posterior,blotched,,smooth,x,880,,x,x,,,,,x,x,,,x,,gillian
71,Hydrophis platurus,Hydrophis_platurus_xanthos.jpg,,yellow ,yellow,,,,uniform ,uniform,,,smooth,x,880,,x,x,,,,,x,x,,,x,,gillian
72,Hydrophis schistosa,Enhydrina_schistosa1.jpg,,lightgray darkgray ,lightgray,darkgray,,,banded ,banded,,,smooth,,NA,,,,,,,,,,,,,,gillian
72,Hydrophis schistosa,Enhydrina_schistosa3.jpg,,lightgray darkgray ,lightgray,darkgray,,,banded ,banded,,,smooth,,NA,,,,,,,,,,,,,,gillian
72,Hydrophis schistosa,Enhydrina_schistosa4.jpg,,lightgray darkgray beige ,lightgray,darkgray,beige,,banded ,banded,,,smooth,,NA,,,,,,,,,,,,,,gillian
72,Hydrophis schistosa,Enhydrina_schistosa5.jpg,,lightgray darkgray ,lightgray,darkgray,,,banded ,banded,,,smooth,,NA,,,,,,,,,,,,,,gillian
73,Hydrophis spiralis,Hydrophis_spiralis.jpg,,lightgray darkgray ,lightgray,darkgray,,,banded ,banded,,,smooth,x,2750,,x,,,,,,x,,,,x,,gillian
74,Hydrophis viperina,Thallasophina_viperina3.jpg,,darkgray lightgray ,darkgray,lightgray,,,diamond ,diamond,,,smooth,,NA,,,,,,,,,,,,,,gillian
75,Indotyphlops braminus,Indotyphlops_braminus2.jpg,,black ,black,,,,uniform ,uniform,,,smooth,,141,,x,x,,,x,,x,,x,,x,,gillian
75,Indotyphlops braminus,Indotyphlops_braminus3.jpg,,black ,black,,,,uniform ,uniform,,,smooth,,141,,x,x,,,x,,x,,x,,x,,gillian
75,Indotyphlops braminus,Indotyphlops_braminus4.jpg,,darkbrown ,darkbrown,,,,uniform ,uniform,,,smooth,,141,,x,x,,,x,,x,,x,,x,,gillian
75,Indotyphlops braminus,Indotyphlops_braminus5.jpg,,darkbrown beige ,darkbrown,beige,,,uniform ,uniform,,,smooth,,141,,x,x,,,x,,x,,x,,x,,gillian
75,Indotyphlops braminus,Indotyphlops_braminus6.jpg,,black ,black,,,,uniform ,uniform,,,smooth,,141,,x,x,,,x,,x,,x,,x,,gillian
75,Indotyphlops braminus,Ramphotyphlops_braminus.jpg,,black ,black,,,,uniform ,uniform,,,smooth,,NA,,,,,,,,,,,,,,gillian
75,Indotyphlops braminus,Ramphotyphlops_braminus2.jpg,,purple ,purple,,,,uniform ,uniform,,,smooth,,NA,,,,,,,,,,,,,,gillian
76,Letheobia simoni,Letheobia_simoni.jpg,,purple ,purple,,,,uniform ,uniform,,,smooth,,NA,,,,x,x,,,,,,,,,gillian
76,Letheobia simoni,Letheobia_simoni2.jpg,,purple ,purple,,,,,,,,,,NA,,,,x,x,,,,,,,,,gillian
76,Letheobia simoni,Letheobia_simoni3.jpg,,purple ,purple,,,,uniform ,uniform,,,smooth,,NA,,,,x,x,,,,,,,,,gillian
77,Lycodon striatus,Lycodon_striatus.jpg,,black white yellow ,black,white,yellow,,blotched ,blotched,,,smooth,,488,,x,,,,,,,,,,,,gillian
77,Lycodon striatus,Lycodon_striatus2.jpg,,brown yellow darkbrown ,brown,yellow,darkbrown,,banded ,banded,,,smooth,,488,,x,,,,,,,,,,,,gillian
77,Lycodon striatus,Lycodon_striatus3.jpg,,brown white yellow ,brown,white,yellow,,banded blotched ,banded,blotched,,smooth,,488,,x,,,,,,,,,,,,gillian
77,Lycodon striatus,Lycodon_striatus4.jpg,,darkbrown yellow white ,darkbrown,yellow,white,,blotched banded ,blotched,banded,,smooth,,488,,x,,,,,,,,,,,,gillian
77,Lycodon striatus,Lycodon_striatus5.jpg,,darkbrown lightgray yellow ,darkbrown,lightgray,yellow,,blotched ,blotched,,,smooth,,488,,x,,,,,,,,,,,,gillian
78,Lytorhynchus diadema,Lytorhynchus_diadema.jpg,,lightgray darkgray ,lightgray,darkgray,,,diamond ,diamond,,,smooth,,440,,,,x,x,x,,,x,,x,x,,gillian
78,Lytorhynchus diadema,Lytorhynchus_diadema2.jpg,,lightbrown black orange ,lightbrown,black,orange,,diamond ,diamond,,,keeled,,440,,,,x,x,x,,,x,,x,x,,gillian
78,Lytorhynchus diadema,Lytorhynchus_diadema3.jpg,,beige darkbrown ,beige,darkbrown,,,diamond ,diamond,,,keeled,,440,,,,x,x,x,,,x,,x,x,,gillian
78,Lytorhynchus diadema,Lytorhynchus_diadema4.jpg,,beige lightbrown ,beige,lightbrown,,,diamond ,diamond,,,smooth,,440,,,,x,x,x,,,x,,x,x,,gillian
78,Lytorhynchus diadema,Lytorhynchus_diadema5.jpg,,lightbrown darkbrown ,lightbrown,darkbrown,,,diamond ,diamond,,,smooth,,440,,,,x,x,x,,,x,,x,x,,gillian
78,Lytorhynchus diadema,Lytorhynchus_diadema6.jpg,,beige brown ,beige,brown,,,diamond ,diamond,,,keeled,,440,,,,x,x,x,,,x,,x,x,,gillian
81,Lytorhynchus kennedyi ridgewayi,Sindaco 2013 Lytorhynchus kennedyi ridgewayiB.jpg,,white brown ,white,brown,,,banded ,banded,,,keeled,,380,,,x,,x,,,,,x,x,,,gillian
81,Lytorhynchus kennedyi ridgewayi,Sindaco 2013 Lytorhynchus kennedyi ridgewayiD.jpg,,darkgray lightgray white ,darkgray,lightgray,white,,diamond ,diamond,,,keeled,,380,,,x,,x,,,,,x,x,,,gillian
81,Lytorhynchus kennedyi ridgewayi,Sindaco 2013 Lytorhynchus kennedyi ridgewayiE.jpg,,brown black ,brown,black,,,blotched ,blotched,,,smooth,,380,,,x,,x,,,,,x,x,,,gillian
82,Lytorhynchus maynardi,Lytorhynchus_maynardi.jpg,,darkbrown ,darkbrown,,,,diamond ,diamond,,,smooth,,265,,x,,,,,,,,,,,,gillian
84,Macroprotodon cucullatus,Macroprotodon_cucullatus.jpg,,darkgray black ,darkgray,black,,,spotted ,spotted,,,smooth,,550,,,,x,,,,,,,,,,gillian
85,Macrovipera leb turanica,Macrovipera_leb_turanica.jpg,,darkgray lightbrown black ,darkgray,lightbrown,black,,blotched ,blotched,,,smooth,x,2140,,x,x,,x,,x,,,,x,,x,gillian
85,Macrovipera lebetina,Macrovipera_lebetina.jpg,,lightbrown brown ,lightbrown,brown,,,banded ,banded,,,smooth,x,2140,,x,x,,x,,x,,,,x,,x,gillian
85,Macrovipera lebetina,Macrovipera_lebetina_obtusa.jpg,,lightgray darkbrown ,lightgray,darkbrown,,,blotched ,blotched,,,smooth,x,2140,,x,x,,x,,x,,,,x,,x,gillian
85,Macrovipera lebetina,Macrovipera_lebetina_obtusa2.jpg,,brown darkbrown ,brown,darkbrown,,,blotched ,blotched,,,keeled,x,2140,,x,x,,x,,x,,,,x,,x,gillian
86,Macrovipera razii,Oraie 2018 Macrovipera raziiA.jpg,,black ,black,,,,uniform ,uniform,,,smooth,x,1577,,x,,,,,,,,,,,,gillian
86,Macrovipera razii,Oraie 2018 Macrovipera raziiB.jpg,,lightgray darkgray ,lightgray,darkgray,,,blotched ,blotched,,,keeled,x,1577,,x,,,,,,,,,,,,gillian
87,Malpolon insignitus insignitus,Malpolon_insignitus_insignitus3.jpg,,lightbrown ,lightbrown,,,,uniform ,uniform,,,smooth,,2080,,x,x,x,x,,x,,,,x,,,gillian
88,Malpolon moilensis,Malpolon_moilensis3.jpg,,beige lightgray lightbrown ,beige,lightgray,lightbrown,,blotched ,blotched,,,smooth,,1890,,x,x,x,x,x,,,x,x,x,x,x,gillian
89,Malpolon monspessulana,Malpolon_monspessulana.jpg,,brown lightgray ,brown,lightgray,,,uniform ,uniform,,,keeled,,2170,,,,,,,,,,,,,,gillian
89,Malpolon monspessulana,Malpolon_monspessulanus4.jpg,,lightgray darkgray ,lightgray,darkgray,,,,,,,smooth,,2170,,,,,,,,,,,,,,gillian
89,Malpolon monspessulana,Malpolon_monspessulanus5.jpg,,brown darkbrown ,brown,darkbrown,,,uniform ,uniform,,,keeled,,2170,,,,,,,,,,,,,,gillian
89,Malpolon monspessulana,Malpolon_monspessulanus6.jpg,,darkbrown ,darkbrown,,,,uniform ,uniform,,,keeled,,2170,,,,,,,,,,,,,,gillian
89,Malpolon monspessulana,Malpolon_monspessulanus7.jpg,,darkbrown ,darkbrown,,,,uniform ,uniform,,,smooth,,2170,,,,,,,,,,,,,,gillian
89,Malpolon monspessulana,Malpolon_monspessulanus_juv_fem.jpg,,brown darkbrown ,brown,darkbrown,,,spotted ,spotted,,,keeled,,2170,,,,,,,,,,,,,,gillian
89,Malpolon monspessulana,Malpolon_monspessulanus_m.jpg,,blue lightgray ,blue,lightgray,,,uniform ,uniform,,,smooth,,2170,,,,,,,,,,,,,,gillian
89,Malpolon monspessulana,Malpolon_monspessulanus_male.jpg,,darkbrown ,darkbrown,,,,uniform ,uniform,,,smooth,,2170,,,,,,,,,,,,,,gillian
90,Micrelaps muelleri,Micrelaps_muelleri.jpg,,black yellow ,black,yellow,,,banded ,banded,,,smooth,x,600,,,,x,x,,x,,,,x,,,gillian
90,Micrelaps muelleri,Micrelaps_muelleri2.jpg,,black yellow ,black,yellow,,,banded ,banded,,,smooth,x,600,,,,x,x,,x,,,,x,,,gillian
90,Micrelaps muelleri,Micrelaps_muelleri3.jpg,,black beige ,black,beige,,,banded ,banded,,,smooth,x,600,,,,x,x,,x,,,,x,,,gillian
90,Micrelaps muelleri,Micrelaps_muelleri4.jpg,,black beige ,black,beige,,,banded blotched ,banded,blotched,,smooth,x,600,,,,x,x,,x,,,,x,,,gillian
90,Micrelaps muelleri,Micrelaps_tchernovi.jpg,,black beige ,black,beige,,,banded ,banded,,,smooth,,NA,,,,,,,,,,,,,,gillian
92,Montivipera bornmuelleri,Montivipera_bornmuelleri2.jpg,,brown darkbrown ,brown,darkbrown,,,blotched ,blotched,,,keeled,x,740,,,,x,,,x,,,,x,,,gillian
92,Montivipera bornmuelleri,Montivipera_bornmuelleri3.jpg,,lightgray darkbrown ,lightgray,darkbrown,,,blotched ,blotched,,,keeled,x,740,,,,x,,,x,,,,x,,,gillian
93,Montivipera kuhrangica,Montivipera_kuhrangica.jpg,,brown darkbrown ,brown,darkbrown,,,,,,,keeled,x,667,,x,,,,,,,,,,,,gillian
94,Montivipera latifi,Sindaco 2013 Montivipera latifiA.jpg,,darkgray black green ,darkgray,black,green,,diamond blotched ,diamond,blotched,,keeled,x,790,,x,,,,,,,,,,,,gillian
94,Montivipera latifi,Sindaco 2013 Montivipera latifiC.jpg,,black lightgray ,black,lightgray,,,spotted striped ,spotted,striped,,keeled,x,790,,x,,,,,,,,,,,,gillian
94,Montivipera latifi,Sindaco 2013 Montivipera latifiD.jpg,,brown darkbrown lightgray ,brown,darkbrown,lightgray,,blotched ,blotched,,,keeled,x,790,,x,,,,,,,,,,,,gillian
94,Montivipera latifi,Sindaco 2013 Montivipera latifiE.jpg,,brown ,brown,,,,uniform ,uniform,,,keeled,x,790,,x,,,,,,,,,,,,gillian
94,Montivipera latifi,Sindaco 2013 Montivipera latifiF.jpg,,darkgray black white ,darkgray,black,white,,blotched ,blotched,,,keeled,x,790,,x,,,,,,,,,,,,gillian
94,Montivipera latifi,Sindaco 2013 Montivipera latifiG.jpg,,darkgray black lightbrown white ,darkgray,black,lightbrown,white,diamond blotched ,diamond,blotched,,keeled,x,790,,x,,,,,,,,,,,,gillian
95,Montivipera raddei,Vipera_r_raddei.jpg,,darkgray green ,darkgray,green,,,diamond blotched ,diamond,blotched,,keeled,,NA,,,,,,,,,,,,,,gillian
96,Montivipera wagneri,Montivipera_wagneri.jpg,,lightbrown brown ,lightbrown,brown,,,diamond blotched ,diamond,blotched,,keeled,x,950,,x,,,,,,,,,,,,gillian
96,Montivipera wagneri,Montivipera_wagneri2.jpg,,brown darkbrown lightbrown ,brown,darkbrown,lightbrown,,diamond blotched ,diamond,blotched,,keeled,x,950,,x,,,,,,,,,,,,gillian
97,Montivipera xanthina,Vipera_xanthina.jpg,,lightbrown darkbrown white black ,lightbrown,darkbrown,white,black,diamond blotched ,diamond,blotched,,keeled,,NA,,,,,,,,,,,,,,gillian
97,Montivipera xanthina,Vipera_xanthina_2.jpg,,lightbrown darkbrown black ,lightbrown,darkbrown,black,,diamond blotched ,diamond,blotched,,keeled,,NA,,,,,,,,,,,,,,gillian
101,Myriopholis macrorhyncha,Myriopholis_macrorhyncha.jpg,,purple ,purple,,,,uniform ,uniform,,,smooth,,269,,x,x,x,x,,,x,,,x,x,,gillian
101,Myriopholis macrorhyncha,Myriopholis_macrorhyncha2.jpg,,purple ,purple,,,,uniform ,uniform,,,smooth,,269,,x,x,x,x,,,x,,,x,x,,gillian
101,Myriopholis macrorhyncha,Myriopholis_macrorhyncha4.jpg,,purple ,purple,,,,uniform ,uniform,,,smooth,,269,,x,x,x,x,,,x,,,x,x,,gillian
101,Myriopholis macrorhynchus,Leptotyphlops_macrorhynchus.jpg,,purple ,purple,,,,uniform ,uniform,,,smooth,,NA,,,,,,,,,,,,,,gillian
101,Myriopholis macrorhynchus,Leptotyphlops_macrorhynchus2.jpg,,purple ,purple,,,,uniform ,uniform,,,smooth,,NA,,,,,,,,,,,,,,gillian
101,Myriopholis macrorhynchus,Leptotyphlops_macrorhynchus4.jpg,,purple ,purple,,,,uniform ,uniform,,,smooth,,NA,,,,,,,,,,,,,,gillian
102,Myriopholis macrura,Myriopholis_macrura.jpg,,purple ,purple,,,,uniform ,uniform,,,smooth,,170,,,,,,,,,,,,,x,gillian
102,Myriopholis macrurus,Leptotyphlops_macrurus.jpg,,purple ,purple,,,,uniform ,uniform,,,smooth,,NA,,,,,,,,,,,,,,gillian
103,Myriopholis nursii,Carranza 2021 Myriopholis nursii.jpg,,purple ,purple,,,,uniform ,uniform,,,smooth,,250,,,,,,,,x,,,,,x,gillian
103,Myriopholis nursii,Egan 2007 Myriopholis nursiiC.jpg,,purple ,purple,,,,uniform ,uniform,,,smooth,,250,,,,,,,,x,,,,,x,gillian
104,Myriopholis wilsoni,Leptotyphlops_wilsoni.jpg,,purple ,purple,,,,uniform ,uniform,,,smooth,,NA,,,,,,,,,,,,,,gillian
104,Myriopholis wilsoni,Myriopholis_wilsoni.jpg,,purple ,purple,,,,uniform ,uniform,,,smooth,,101,,,,,,,,,,,,,x,gillian
106,Naja arabica,Carranza 2021 Naja arabicaD.jpg,,yellow black ,yellow,black,,,uniform ,uniform,,,smooth,x,2400,,,,,,,,x,,x,,,x,gillian
107,Naja haje,Naja_haje.jpg,,yellow darkbrown ,yellow,darkbrown,,,uniform ,uniform,,,smooth,x,2600,,,,,,,,,,,,,x,gillian
107,Naja haje,Naja_haje2.jpg,,darkbrown beige ,darkbrown,beige,,,uniform ,uniform,,,smooth,x,2600,,,,,,,,,,,,,x,gillian
107,Naja haje,Naja_haje3.jpg,,black orange ,black,orange,,,banded ,banded,,,smooth,x,2600,,,,,,,,,,,,,x,gillian
107,Naja haje,Naja_haje4.jpg,,brown orange ,brown,orange,,,banded ,banded,,,smooth,x,2600,,,,,,,,,,,,,x,gillian
107,Naja haje,Naja_naja_haje2.jpg,,darkbrown beige ,darkbrown,beige,,,uniform ,uniform,,,smooth,x,2600,,,,,,,,,,,,,x,gillian
109,Naja natrix,Natrix_natrix.jpg,,beige black ,beige,black,,,spotted ,spotted,,,keeled,x,2000,,x,x,,,,,x,,,x,,,gillian
109,Naja natrix,Natrix_natrix1.jpg,,black beige ,black,beige,,,uniform ,uniform,,yes,smooth,x,2000,,x,x,,,,,x,,,x,,,gillian
109,Naja natrix,Natrix_natrix2.jpg,,lightgray black ,lightgray,black,,,spotted ,spotted,,,smooth,x,2000,,x,x,,,,,x,,,x,,,gillian
109,Naja natrix,Natrix_natrix5.jpg,,lightbrown black ,lightbrown,black,,,spotted ,spotted,,yes,smooth,x,2000,,x,x,,,,,x,,,x,,,gillian
109,Naja natrix,Natrix_natrix6.jpg,,lightbrown black ,lightbrown,black,,,spotted ,spotted,,yes,smooth,x,2000,,x,x,,,,,x,,,x,,,gillian
109,Naja natrix,Natrix_natrix7.jpg,,lightgray black ,lightgray,black,,,spotted ,spotted,,yes,smooth,x,2000,,x,x,,,,,x,,,x,,,gillian
109,Natrix natrix cypriaca,Natrix_natrix_cypriaca.jpg,,green black ,green,black,,,blotched ,blotched,,yes,smooth,,2000,,x,x,,,,,x,,,x,,,gillian
109,Natrix natrix cypriaca,Natrix_natrix_cypriaca2.jpg,,green black ,green,black,,,blotched ,blotched,,,smooth,,2000,,x,x,,,,,x,,,x,,,gillian
109,Natrix natrix natrix,Natrix_natrix_natrix2.jpg,,green black ,green,black,,,spotted ,spotted,,yes,smooth,,2000,,x,x,,,,,x,,,x,,,gillian
109,Natrix natrix natrix,Natrix_natrix_natrix3.jpg,,darkgray orange black ,darkgray,orange,black,,spotted ,spotted,,yes,smooth,,2000,,x,x,,,,,x,,,x,,,gillian
109,Natrix natrix natrix,Natrix_natrix_natrix_juv.jpg,,darkgray beige black ,darkgray,beige,black,,spotted ,spotted,,,smooth,,2000,,x,x,,,,,x,,,x,,,gillian
109,Natrix natrix persa,Natrix_natrix_persa_f.jpg,,darkgray white ,darkgray,white,,,striped spotted ,striped,spotted,,smooth,,2000,,x,x,,,,,x,,,x,,,gillian
109,Natrix natrix vulgaris,Natrix_natrix_vulgaris.jpg,,darkgray black ,darkgray,black,,,spotted ,spotted,,,smooth,,2000,,x,x,,,,,x,,,x,,,gillian
109,Natrix natrix vulgaris,Natrix_natrix_vulgaris10.jpg,,brown lightbrown black ,brown,lightbrown,black,,striped spotted ,striped,spotted,,smooth,,2000,,x,x,,,,,x,,,x,,,gillian
109,Natrix natrix vulgaris,Natrix_natrix_vulgaris11.jpg,,brown black orange beige ,brown,black,orange,beige,striped spotted ,striped,spotted,,smooth,,2000,,x,x,,,,,x,,,x,,,gillian
109,Natrix natrix vulgaris,Natrix_natrix_vulgaris12.jpg,,brown black beige orange ,brown,black,beige,orange,striped spotted ,striped,spotted,,smooth,,2000,,x,x,,,,,x,,,x,,,gillian
109,Natrix natrix vulgaris,Natrix_natrix_vulgaris3.jpg,,darkgray black orange ,darkgray,black,orange,,spotted ,spotted,,yes,smooth,,2000,,x,x,,,,,x,,,x,,,gillian
109,Natrix natrix vulgaris,Natrix_natrix_vulgaris5.jpg,,darkgray black ,darkgray,black,,,spotted ,spotted,,yes,smooth,,2000,,x,x,,,,,x,,,x,,,gillian
109,Natrix natrix vulgaris,Natrix_natrix_vulgaris7.jpg,,darkgray black ,darkgray,black,,,spotted ,spotted,,yes,smooth,,2000,,x,x,,,,,x,,,x,,,gillian
109,Natrix natrix vulgaris,Natrix_natrix_vulgaris8.jpg,,lightbrown darkgray black orange ,lightbrown,darkgray,black,orange,spotted ,spotted,,,smooth,,2000,,x,x,,,,,x,,,x,,,gillian
